Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2015-01-11,11,January,2015,21,Youth (<25),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-01-12,12,January,2015,26,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-01-12,12,January,2015,32,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274
2015-01-13,13,January,2015,46,Adults (35-64),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,544,1266,1810
2015-01-13,13,January,2015,26,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-01-14,14,January,2015,35,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-01-14,14,January,2015,43,Adults (35-64),Male,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,729,1266,1995
2015-01-15,15,January,2015,26,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-01-16,16,January,2015,40,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,839,1555,2394
2015-01-16,16,January,2015,30,Young Adults (25-34),Male,United States,Oregon,Bikes,Road Bikes,"Road-650 Red, 62",1,487,783,186,487,673
2015-01-16,16,January,2015,26,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-01-16,16,January,2015,35,Adults (35-64),Male,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,722,1252,1974
2015-01-17,17,January,2015,41,Adults (35-64),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,544,1266,1810
2015-01-17,17,January,2015,40,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,839,1555,2394
2015-01-18,18,January,2015,44,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-100 Black, 38",1,1898,3375,1410,1898,3308
2015-01-19,19,January,2015,43,Adults (35-64),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1076,2504,3580
2015-01-20,20,January,2015,43,Adults (35-64),Female,United States,Oregon,Bikes,Mountain Bikes,"Mountain-500 Black, 44",1,295,540,169,295,464
2015-01-21,21,January,2015,43,Adults (35-64),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1076,2504,3580
2015-01-22,22,January,2015,40,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,839,1555,2394
2015-01-22,22,January,2015,40,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,620,2171,2791
2015-01-23,23,January,2015,26,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-01-23,23,January,2015,40,Adults (35-64),Male,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,250,713,963
2015-01-23,23,January,2015,24,Youth (<25),Female,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,385,713,1098
2015-01-23,23,January,2015,27,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,713,1120,385,713,1098
2015-01-24,24,January,2015,31,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-01-24,24,January,2015,25,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-750 Black, 52",2,344,540,370,688,1058
2015-01-25,25,January,2015,17,Youth (<25),Male,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,77,344,421
2015-01-25,25,January,2015,24,Youth (<25),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1335,2171,3506
2015-01-26,26,January,2015,37,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",3,420,769,1001,1260,2261
2015-01-28,28,January,2015,40,Adults (35-64),Male,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,250,713,963
2015-01-29,29,January,2015,40,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,620,2171,2791
2015-01-30,30,January,2015,27,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,713,1120,385,713,1098
2015-01-31,31,January,2015,45,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-01-31,31,January,2015,40,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,620,2171,2791
2015-02-01,1,February,2015,24,Youth (<25),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,538,1252,1790
2015-02-01,1,February,2015,27,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,620,2171,2791
2015-02-01,1,February,2015,38,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-02-01,1,February,2015,25,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,185,344,529
2015-02-01,1,February,2015,18,Youth (<25),Female,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,620,2171,2791
2015-02-02,2,February,2015,33,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",2,344,540,370,688,1058
2015-02-02,2,February,2015,32,Young Adults (25-34),Female,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,722,1252,1974
2015-02-04,4,February,2015,32,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",1,487,783,280,487,767
2015-02-04,4,February,2015,19,Youth (<25),Female,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",3,713,1120,751,2139,2890
2015-02-04,4,February,2015,43,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-02-05,5,February,2015,31,Young Adults (25-34),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,180,420,600
2015-02-05,5,February,2015,26,Young Adults (25-34),Female,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,722,1252,1974
2015-02-06,6,February,2015,25,Young Adults (25-34),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,544,1266,1810
2015-02-06,6,February,2015,34,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",2,344,540,154,688,842
2015-02-06,6,February,2015,34,Young Adults (25-34),Male,United States,Oregon,Bikes,Road Bikes,"Road-650 Black, 60",3,487,783,559,1461,2020
2015-02-06,6,February,2015,34,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",3,344,540,232,1032,1264
2015-02-06,6,February,2015,34,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,839,1555,2394
2015-02-06,6,February,2015,26,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-02-07,7,February,2015,26,Young Adults (25-34),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,538,1252,1790
2015-02-08,8,February,2015,28,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,185,344,529
2015-02-08,8,February,2015,33,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701,244,1083,1327
2015-02-09,9,February,2015,38,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-02-10,10,February,2015,30,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-650 Red, 58",1,487,783,124,487,611
2015-02-12,12,February,2015,25,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274
2015-02-12,12,February,2015,39,Adults (35-64),Female,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,722,1252,1974
2015-02-13,13,February,2015,30,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783,280,487,767
2015-02-13,13,February,2015,25,Young Adults (25-34),Male,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,250,713,963
2015-02-14,14,February,2015,33,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",3,344,540,556,1032,1588
2015-02-14,14,February,2015,27,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-750 Black, 58",1,344,540,185,344,529
2015-02-14,14,February,2015,25,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,185,344,529
2015-02-14,14,February,2015,24,Youth (<25),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1335,2171,3506
2015-02-15,15,February,2015,24,Youth (<25),Male,United States,Oregon,Bikes,Road Bikes,"Road-750 Black, 58",1,344,540,120,344,464
2015-02-15,15,February,2015,24,Youth (<25),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,538,1252,1790
2015-02-17,17,February,2015,24,Youth (<25),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-02-18,18,February,2015,36,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",2,487,783,561,974,1535
2015-02-18,18,February,2015,39,Adults (35-64),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,735,1898,2633
2015-02-19,19,February,2015,18,Youth (<25),Male,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,250,713,963
2015-02-19,19,February,2015,26,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,334,420,754
2015-02-19,19,February,2015,30,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1335,2171,3506
2015-02-20,20,February,2015,39,Adults (35-64),Female,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,722,1252,1974
2015-02-20,20,February,2015,34,Young Adults (25-34),Male,United States,Oregon,Bikes,Road Bikes,"Road-650 Black, 60",1,487,783,186,487,673
2015-02-20,20,February,2015,30,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-650 Red, 58",1,487,783,124,487,611
2015-02-21,21,February,2015,38,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-02-21,21,February,2015,24,Youth (<25),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-02-21,21,February,2015,35,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,385,713,1098
2015-02-22,22,February,2015,29,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1335,2171,3506
2015-02-23,23,February,2015,30,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-650 Red, 58",3,487,783,371,1461,1832
2015-02-24,24,February,2015,43,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-02-24,24,February,2015,35,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1335,2171,3506
2015-02-24,24,February,2015,30,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783,280,487,767
2015-02-25,25,February,2015,23,Youth (<25),Male,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",2,713,1120,769,1426,2195
2015-02-26,26,February,2015,28,Young Adults (25-34),Male,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,906,2171,3077
2015-02-26,26,February,2015,37,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,385,713,1098
2015-02-26,26,February,2015,34,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1335,2171,3506
2015-02-27,27,February,2015,30,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1335,2171,3506
2015-02-28,28,February,2015,34,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1335,2171,3506
2015-02-28,28,February,2015,39,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,997,1252,2249
2015-03-02,2,March,2015,31,Young Adults (25-34),Male,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,546,1555,2101
2015-03-02,2,March,2015,27,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-03-03,3,March,2015,27,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-03-05,5,March,2015,26,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274
2015-03-05,5,March,2015,37,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-350-W Yellow, 44",2,1083,1701,488,2166,2654
2015-03-05,5,March,2015,28,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,161,713,874
2015-03-05,5,March,2015,38,Adults (35-64),Male,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,906,2171,3077
2015-03-06,6,March,2015,53,Adults (35-64),Female,United States,Oregon,Bikes,Road Bikes,"Road-350-W Yellow, 40",1,1083,1701,380,1083,1463
2015-03-07,7,March,2015,30,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783,280,487,767
2015-03-07,7,March,2015,27,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-03-09,9,March,2015,37,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-650 Red, 60",1,487,783,280,487,767
2015-03-09,9,March,2015,27,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-03-10,10,March,2015,29,Young Adults (25-34),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,538,1252,1790
2015-03-12,12,March,2015,24,Youth (<25),Female,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,385,713,1098
2015-03-12,12,March,2015,27,Young Adults (25-34),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,544,1266,1810
2015-03-12,12,March,2015,23,Youth (<25),Male,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540,77,344,421
2015-03-13,13,March,2015,27,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-03-14,14,March,2015,27,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",2,713,1120,769,1426,2195
2015-03-14,14,March,2015,27,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-03-15,15,March,2015,30,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 48",2,295,540,468,590,1058
2015-03-15,15,March,2015,31,Young Adults (25-34),Female,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,906,2171,3077
2015-03-16,16,March,2015,53,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,161,713,874
2015-03-18,18,March,2015,28,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
2015-03-19,19,March,2015,26,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,620,2171,2791
2015-03-19,19,March,2015,27,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-03-20,20,March,2015,37,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,385,713,1098
2015-03-20,20,March,2015,39,Adults (35-64),Female,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,250,713,963
2015-03-20,20,March,2015,28,Young Adults (25-34),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,1076,2504,3580
2015-03-21,21,March,2015,28,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,161,713,874
2015-03-22,22,March,2015,53,Adults (35-64),Female,United States,Oregon,Bikes,Road Bikes,"Road-350-W Yellow, 40",2,1083,1701,760,2166,2926
2015-03-24,24,March,2015,53,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1335,2171,3506
2015-03-26,26,March,2015,26,Young Adults (25-34),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,538,1252,1790
2015-03-26,26,March,2015,39,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1335,2171,3506
2015-03-26,26,March,2015,27,Young Adults (25-34),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,180,420,600
2015-03-29,29,March,2015,26,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274
2015-03-29,29,March,2015,38,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,620,2171,2791
2015-03-29,29,March,2015,39,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,584,1083,1667
2015-03-31,31,March,2015,25,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540,185,344,529
2015-03-31,31,March,2015,28,Young Adults (25-34),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,538,1252,1790
2015-04-01,1,April,2015,52,Adults (35-64),Male,United States,Oregon,Bikes,Road Bikes,"Road-650 Red, 58",1,487,783,186,487,673
2015-04-01,1,April,2015,30,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-650 Red, 58",2,487,783,247,974,1221
2015-04-02,2,April,2015,23,Youth (<25),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-04-02,2,April,2015,31,Young Adults (25-34),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,180,420,600
2015-04-03,3,April,2015,32,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,620,2171,2791
2015-04-04,4,April,2015,45,Adults (35-64),Female,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,906,2171,3077
2015-04-04,4,April,2015,25,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 44",3,344,540,232,1032,1264
2015-04-05,5,April,2015,45,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,620,2171,2791
2015-04-05,5,April,2015,26,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274
2015-04-05,5,April,2015,49,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,1335,2171,3506
2015-04-05,5,April,2015,31,Young Adults (25-34),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",3,420,769,539,1260,1799
2015-04-06,6,April,2015,46,Adults (35-64),Female,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077
2015-04-07,7,April,2015,25,Young Adults (25-34),Female,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 40",3,713,1120,751,2139,2890
2015-04-08,8,April,2015,39,Adults (35-64),Male,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,1443,2504,3947
2015-04-08,8,April,2015,31,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-650 Black, 62",1,487,783,280,487,767
2015-04-09,9,April,2015,32,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,620,2171,2791
2015-04-09,9,April,2015,47,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,1083,1701,1168,2166,3334
2015-04-11,11,April,2015,25,Young Adults (25-34),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,1087,2532,3619
2015-04-11,11,April,2015,42,Adults (35-64),Male,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,722,1252,1974
2015-04-11,11,April,2015,50,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 44",3,713,1120,482,2139,2621
2015-04-12,12,April,2015,39,Adults (35-64),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,544,1266,1810
2015-04-13,13,April,2015,40,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,839,1555,2394
2015-04-13,13,April,2015,25,Young Adults (25-34),Male,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,722,1252,1974
2015-04-13,13,April,2015,51,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",3,344,540,556,1032,1588
2015-04-13,13,April,2015,38,Adults (35-64),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,544,1266,1810
2015-04-14,14,April,2015,66,Seniors (64+),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,997,1252,2249
2015-04-14,14,April,2015,28,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,161,713,874
2015-04-14,14,April,2015,38,Adults (35-64),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,544,1266,1810
2015-04-15,15,April,2015,31,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-04-15,15,April,2015,49,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 52",1,1519,2443,387,1519,1906
2015-04-15,15,April,2015,25,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-750 Black, 52",2,344,540,370,688,1058
2015-04-15,15,April,2015,42,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,997,1252,2249
2015-04-16,16,April,2015,43,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-04-17,17,April,2015,46,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,584,1083,1667
